,allStar,ast,ast_pct,blk,blk_pct,bpm,class,conf_abbr,dbpm,def_rtg,drb,drb_pct,dws,efg_pct,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,obpm,off_rtg,orb,orb_pct,ows,per,pf,pick_overall,player,pos,pprod,pts,round,school_name,season,stl,stl_pct,tov,tov_pct,trb,trb_pct,ts_pct,usg_pct,ws,year_drafted,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
532,1.0,167.0,24.4,7.0,0.4,7.4,SO,Pac-10,2.9,97.9,92.0,14.8,3.3,0.499,182.0,156.0,314.0,26.0,77.0,391.0,107.0,150.0,39.0,1318.0,4.1,114.1,61.0,6.0,2.0,21.2,93.0,4,Russell Westbrook,G,425.0,497.0,1,UCLA,2007-08,63.0,1.9,96.0,17.2,153.0,7.1,0.5379999999999999,21.8,5.3,2008,12.743589743589743,0.46547314578005117,0.4968152866242038,0.3376623376579524,0.7133333333285778,3.923076923076923,4.282051282051282,1.6153846153846154,0.1794871794871795
559,1.0,74.0,15.2,28.0,2.8,17.0,JR,Big Ten,7.3,87.3,134.0,15.1,2.6,0.648,182.0,152.0,236.0,30.0,68.0,304.0,97.0,130.0,36.0,1021.0,9.7,125.7,93.0,11.8,4.2,28.9,89.0,2,Victor Oladipo,G,478.0,491.0,1,Indiana,2012-13,78.0,4.6,83.0,18.5,227.0,13.5,0.6709999999999999,22.2,6.7,2013,13.63888888888889,0.5986842105263158,0.6440677966101694,0.44117647058174736,0.7461538461481065,6.305555555555555,2.0555555555555554,2.1666666666666665,0.7777777777777778
564,1.0,264.0,35.8,8.0,0.5,7.4,JR,Big Ten,2.9,97.9,128.0,14.8,2.5,0.516,178.0,110.0,224.0,68.0,187.0,411.0,65.0,96.0,39.0,1315.0,4.1,114.1,14.0,6.0,2.1,21.2,80.0,3,Deron Williams,G,425.0,489.0,1,Illinois,2004-05,38.0,1.9,109.0,19.3,142.0,6.6,0.535,22.5,4.6,2005,12.538461538461538,0.43309002433090027,0.49107142857142855,0.3636363636344191,0.6770833333262803,3.641025641025641,6.769230769230769,0.9743589743589743,0.20512820512820512
565,1.0,212.0,33.8,1.0,0.1,7.4,SO,ACC,2.9,97.9,122.0,14.8,1.6,0.524,143.0,97.0,220.0,46.0,97.0,317.0,156.0,187.0,32.0,1069.0,4.1,114.1,22.0,6.0,2.9,21.2,82.0,4,Chris Paul,G,425.0,488.0,1,Wake Forest,2004-05,76.0,1.9,89.0,18.0,144.0,7.5,0.601,21.5,4.6,2005,15.25,0.45110410094637227,0.4409090909090909,0.4742268041188224,0.8342245989260202,4.5,6.625,2.375,0.03125
569,1.0,88.0,22.4,24.0,2.9,7.4,SO,WAC,2.9,94.9,155.0,18.8,1.8,0.506,154.0,95.0,196.0,59.0,167.0,363.0,120.0,132.0,29.0,962.0,4.1,107.6,55.0,6.7,2.3,24.3,84.0,10,Paul George,F,469.0,487.0,1,Fresno State,2009-10,64.0,4.0,94.0,18.1,210.0,12.8,0.5720000000000001,27.9,4.2,2010,16.79310344827586,0.42424242424242425,0.4846938775510204,0.3532934131715372,0.9090909090840221,7.241379310344827,3.0344827586206895,2.206896551724138,0.8275862068965517
570,1.0,63.0,12.2,34.0,2.2,7.4,FR,WAC,2.9,97.9,149.0,14.8,1.2,0.5589999999999999,166.0,103.0,212.0,63.0,141.0,353.0,92.0,132.0,34.0,1176.0,4.1,114.1,63.0,6.0,2.9,21.2,92.0,10,Paul George,F,425.0,487.0,1,Fresno State,2008-09,59.0,1.9,79.0,16.0,212.0,10.5,0.586,22.0,4.1,2010,14.323529411764707,0.4702549575070821,0.4858490566037736,0.44680851063512905,0.6969696969644169,6.235294117647059,1.8529411764705883,1.7352941176470589,1.0
580,1.0,38.0,12.7,67.0,1.8,7.4,FR,ACC,2.9,97.9,183.0,14.8,2.9,0.597,168.0,146.0,254.0,22.0,46.0,300.0,127.0,174.0,31.0,960.0,4.1,114.1,95.0,6.0,3.5,21.2,73.0,4,Chris Bosh,F,425.0,485.0,1,Georgia Tech,2002-03,30.0,1.9,72.0,15.8,278.0,11.0,0.634,22.9,6.4,2003,15.64516129032258,0.56,0.5748031496062992,0.47826086955482044,0.7298850574670697,8.96774193548387,1.2258064516129032,0.967741935483871,2.161290322580645
588,1.0,61.0,16.7,28.0,2.2,7.4,FR,Big 12,2.9,97.9,193.0,14.8,2.8,0.568,184.0,184.0,322.0,0.0,2.0,324.0,116.0,197.0,33.0,937.0,4.1,114.1,108.0,6.0,2.8,21.2,82.0,1,Blake Griffin,F,425.0,484.0,1,Oklahoma,2007-08,33.0,1.9,76.0,15.4,301.0,19.0,0.58,27.8,5.6,2009,14.666666666666666,0.5679012345679012,0.5714285714285714,0.0,0.5888324873066557,9.121212121212121,1.8484848484848484,1.0,0.8484848484848485
605,1.0,90.0,12.7,72.0,1.8,7.4,JR,SEC,2.9,97.9,235.0,14.8,4.2,0.609,173.0,172.0,284.0,1.0,1.0,285.0,132.0,199.0,40.0,1034.0,4.1,114.1,102.0,6.0,3.5,21.2,90.0,9,Joakim Noah,C,425.0,479.0,1,Florida,2006-07,45.0,1.9,100.0,20.9,337.0,11.0,0.631,22.9,7.7,2007,11.975,0.6070175438596491,0.6056338028169014,0.9999999989999999,0.6633165829112396,8.425,2.25,1.125,1.8
614,1.0,39.0,9.3,90.0,7.1,7.4,JR,Big East,2.9,97.9,154.0,14.8,3.3,0.6709999999999999,186.0,186.0,277.0,0.0,0.0,277.0,105.0,153.0,37.0,975.0,4.1,114.1,100.0,6.0,4.6,21.2,103.0,17,Roy Hibbert,C,425.0,477.0,1,Georgetown,2006-07,18.0,1.9,46.0,11.6,254.0,16.8,0.682,22.8,7.9,2008,12.891891891891891,0.6714801444043321,0.6714801444043321,0.0,0.6862745097994362,6.864864864864865,1.054054054054054,0.4864864864864865,2.4324324324324325
