,year_drafted,round,pick_overall,player,school_name,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
30,2004,1,7,Luol Deng,Duke,37.0,1149.0,210.0,441.0,170.0,330.0,40.0,111.0,98.0,138.0,82.0,173.0,255.0,68.0,49.0,39.0,83.0,82.0,558.0,21.2,4.1,2.9,7.4,0.551,0.522,6.0,14.8,12.6,11.8,1.9,2.3,14.1,24.7,114.1,97.9,2.4,3.2,5.6,425.0,0.0,15.08108108108108,0.47619047619047616,0.5151515151515151,0.3603603603571139,0.7101449275310859,6.891891891891892,1.837837837837838,1.3243243243243243,1.054054054054054
31,2004,1,9,Andre Iguodala,Arizona,31.0,788.0,102.5,241.5,86.5,183.0,16.0,58.5,76.0,103.0,67.0,137.5,204.5,106.5,47.5,14.5,66.0,68.0,297.0,21.2,4.1,2.9,7.4,0.502,0.447,6.0,14.8,13.55,20.299999999999997,1.9,1.25,18.4,19.95,114.1,97.9,0.7,1.95,2.7,425.0,0.0,9.685416666666667,0.41577329772053717,0.4657029930194754,0.25980697384358736,0.7292950693302933,6.654166666666667,3.48125,1.534375,0.46458333333333335
32,2004,1,10,Luke Jackson,Oregon,31.5,1045.0,191.5,406.5,136.5,272.5,55.0,134.0,146.5,169.5,63.0,159.0,222.0,127.0,46.5,8.0,89.0,59.0,584.5,21.2,4.1,2.9,7.4,0.598,0.5365,6.0,14.8,11.5,16.9,1.9,1.25,15.5,23.7,114.1,97.9,3.55,1.35,4.85,425.0,0.0,18.59627016129032,0.47003461048029627,0.5014625795319745,0.40125206708879424,0.8645502645450942,7.049899193548387,4.038810483870968,1.472782258064516,0.25252016129032256
33,2004,1,14,Kris Humphries,Minnesota,29.0,990.0,221.0,498.0,204.0,448.0,17.0,50.0,170.0,229.0,91.0,203.0,294.0,20.0,27.0,33.0,82.0,65.0,629.0,21.2,4.1,2.9,7.4,0.518,0.461,6.0,14.8,17.2,5.1,1.9,2.4,11.9,34.6,114.1,97.9,1.8,1.7,3.5,425.0,0.0,21.689655172413794,0.44377510040160645,0.45535714285714285,0.3399999999932,0.7423580785993784,10.137931034482758,0.6896551724137931,0.9310344827586207,1.1379310344827587
34,2004,1,16,Kirk Snyder,Nevada,33.0,1046.0,198.0,452.5,154.5,313.5,43.5,139.0,139.5,202.0,78.5,148.5,227.0,99.0,32.0,24.0,106.5,79.0,579.0,21.2,4.1,2.9,7.4,0.5269999999999999,0.486,6.0,14.8,11.0,12.7,1.9,1.8,16.2,22.9,114.1,97.9,1.95,2.45,4.4,425.0,0.0,17.50735294117647,0.4380829651448208,0.4941077441077441,0.30833988984829697,0.6848478060644323,6.914522058823529,2.9862132352941178,0.9678308823529411,0.7297794117647058
35,2004,1,20,Jameer Nelson,Saint Joseph's,31.0,1066.5,214.0,468.5,145.5,280.5,68.5,188.0,128.5,164.5,36.0,116.0,152.0,156.0,77.5,3.5,89.0,61.5,625.0,21.2,4.1,2.9,7.4,0.571,0.5289999999999999,6.0,14.8,11.0,12.7,1.9,1.8,14.0,22.9,114.1,97.9,3.55,2.75,6.3,425.0,0.0,20.146875,0.4557909836814502,0.5179738562091503,0.3644993350856308,0.7820842654687247,4.910416666666666,5.022916666666667,2.490625,0.115625
36,2004,1,24,Delonte West,Saint Joseph's,29.0,929.0,187.0,379.0,131.5,237.5,55.5,141.5,97.0,112.5,32.0,110.5,142.5,117.0,48.0,5.5,73.5,58.5,526.5,21.2,4.1,2.9,7.4,0.6065,0.5655,6.0,14.8,11.0,12.7,1.9,1.8,14.5,22.9,114.1,97.9,3.7,2.15,5.9,425.0,0.0,18.072115384615387,0.49164979757085014,0.552930402930403,0.39295718287036285,0.8530199096457312,4.860576923076923,3.9555288461538463,1.6478365384615383,0.18990384615384615
37,2004,1,25,Tony Allen,Oklahoma State,33.5,1052.5,183.5,385.0,157.5,310.0,26.0,75.0,118.0,173.0,57.5,125.5,183.0,98.0,67.0,27.0,94.0,98.5,511.0,21.2,4.1,2.9,7.4,0.5455,0.5095000000000001,6.0,14.8,10.3,15.85,1.9,1.75,16.8,24.5,114.1,97.9,2.3,3.0999999999999996,5.4,425.0,0.0,15.217410714285714,0.4751395230847285,0.5050282775274674,0.34601706969667445,0.6830236028174741,5.460267857142857,2.916517857142857,1.9973214285714285,0.8035714285714286
38,2004,1,29,David Harrison,Colorado,30.5,912.0,175.0,297.5,175.0,297.0,0.0,0.5,121.0,220.0,105.5,154.0,259.5,20.5,19.5,95.5,75.0,103.0,471.0,21.2,4.1,2.9,7.4,0.5854999999999999,0.589,6.0,14.8,11.0,12.7,1.9,1.8,15.700000000000001,22.9,114.1,97.9,2.65,2.75,5.4,425.0,0.0,15.522090517241379,0.5885875706214689,0.5896598639455782,0.0,0.5506465517216246,8.519935344827587,0.6810344827586207,0.6368534482758621,3.1217672413793105
39,2004,2,31,Jackson Vroman,Iowa State,31.5,965.0,170.5,305.5,170.0,299.0,0.5,6.5,75.5,147.5,99.0,200.0,299.0,65.5,38.5,35.0,89.5,114.0,417.0,21.2,4.1,2.9,7.4,0.555,0.5585,6.0,14.8,14.05,13.899999999999999,1.9,1.65,19.200000000000003,23.5,114.1,97.9,1.9500000000000002,2.45,4.35,425.0,0.0,13.227318548387096,0.557618893561954,0.5681958907965099,0.07142857141836735,0.5116910613976136,9.490423387096774,2.075100806451613,1.21875,1.1179435483870968
