,player,class,season,pos,school_name,conf_abbr,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,year_drafted,round,pick_overall,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
196,Lazar Hayward,SR,2009-10,F,Marquette,Big East,34.0,1097.0,222,514,157,328,65,186,107,127,72.0,184.0,256,52,64,18,67.0,115.0,616,25.7,4.1,2.9,7.4,0.536,0.495,8.2,21.3,14.7,11.2,3.6,1.7,10.4,31.6,110.1,94.1,3.2,2.2,5.4,563.0,2010,1,30,0,18.11764705882353,0.43190661478599224,0.47865853658536583,0.34946236558951904,0.842519685032736,7.529411764705882,1.5294117647058822,1.8823529411764706,0.5294117647058824
328,Sviatoslav Mykhailiuk,SR,2017-18,G,Kansas,Big 12,39.0,1346.0,205,472,90,213,115,259,45,56,44.0,109.0,153,107,46,12,65.0,97.0,570,16.9,5.6,1.7,7.3,0.5720000000000001,0.556,4.0,8.6,6.4,13.4,1.9,0.9,11.5,21.0,115.9,106.0,3.1,1.5,4.6,548.0,2018,2,47,0,14.615384615384615,0.4343220338983051,0.4225352112676056,0.44401544401372967,0.8035714285570791,3.923076923076923,2.7435897435897436,1.1794871794871795,0.3076923076923077
1279,Chris Richard,JR,2005-06,C,Florida,SEC,39.0,681.0,97,139,97,139,0,0,38,54,44.0,96.0,140,19,14,14,36.0,83.0,232,21.2,4.1,2.9,7.4,0.705,0.698,6.0,14.8,12.1,5.2,1.9,1.4,17.9,14.9,114.1,97.9,2.2,1.2,3.3,425.0,2007,2,41,0,5.948717948717949,0.697841726618705,0.697841726618705,0.0,0.7037037036906721,3.58974358974359,0.48717948717948717,0.358974358974359,0.358974358974359
922,Jerami Grant,SO,2013-14,F,Syracuse,ACC,32.0,1005.0,133,268,133,263,0,5,120,178,78.0,139.0,217,44,26,18,37.0,75.0,386,21.6,3.3,2.5,5.8,0.547,0.496,9.1,17.2,13.0,9.4,1.7,2.5,9.5,21.1,120.4,98.7,2.8,1.9,4.6,379.0,2014,2,39,0,12.0625,0.4962686567164179,0.5057034220532319,0.0,0.6741573033669992,6.78125,1.375,0.8125,0.5625
214,Buddy Hield,JR,2014-15,G,Oklahoma,Big 12,35.0,1135.0,205,498,112,239,93,259,107,130,56.0,134.0,190,67,47,8,68.0,61.0,610,22.6,6.9,2.2,9.1,0.545,0.505,5.6,12.1,9.0,13.2,2.5,0.7,10.8,28.1,112.3,94.2,3.2,2.3,5.6,565.0,2016,1,6,0,17.428571428571427,0.41164658634538154,0.4686192468619247,0.3590733590719727,0.8230769230705918,5.428571428571429,1.9142857142857144,1.3428571428571427,0.22857142857142856
1332,Kelly Olynyk,SO,2010-11,F,Gonzaga,WCC,35.0,471.0,74,129,62,102,12,27,42,68,44.0,89.0,133,26,12,5,42.0,57.0,202,20.4,2.9,1.9,4.8,0.626,0.62,11.7,20.9,16.6,11.0,1.5,1.2,20.7,21.7,112.3,95.6,1.1,0.9,2.0,195.0,2013,1,13,0,5.771428571428571,0.5736434108527132,0.6078431372549019,0.44444444442798353,0.6176470588144464,3.8,0.7428571428571429,0.34285714285714286,0.14285714285714285
525,David Harrison,JR,2003-04,C,Colorado,Big 12,29.0,916.0,186,295,186,294,0,1,125,232,108.0,146.0,254,25,17,85,78.0,94.0,497,21.2,4.1,2.9,7.4,0.613,0.631,6.0,14.8,11.0,12.7,1.9,1.8,16.1,22.9,114.1,97.9,3.3,2.1,5.4,425.0,2004,1,29,0,17.137931034482758,0.6305084745762712,0.6326530612244898,0.0,0.5387931034459535,8.758620689655173,0.8620689655172413,0.5862068965517241,2.9310344827586206
677,Tyus Jones,FR,2014-15,G,Duke,ACC,39.0,1322.0,135,324,88,200,47,124,144,162,19.0,118.0,137,217,59,3,76.0,46.0,461,20.4,6.6,2.8,9.4,0.575,0.489,1.8,9.9,6.1,27.5,2.7,0.2,15.9,18.7,125.0,99.2,4.4,2.1,6.5,532.0,2015,1,24,0,11.820512820512821,0.4166666666666667,0.44,0.3790322580614594,0.888888888883402,3.5128205128205128,5.564102564102564,1.5128205128205128,0.07692307692307693
133,Caleb Swanigan,SO,2016-17,F,Purdue,Big Ten,35.0,1139.0,222,421,184,336,38,85,164,210,96.0,340.0,436,107,15,28,118.0,97.0,646,26.2,5.0,5.6,10.6,0.62,0.5720000000000001,10.7,32.7,22.5,18.9,0.8,2.5,18.5,28.1,116.2,92.7,3.7,2.6,6.4,640.0,2017,1,26,0,18.457142857142856,0.5273159144893111,0.5476190476190477,0.4470588235241522,0.7809523809486622,12.457142857142857,3.057142857142857,0.42857142857142855,0.8
842,Sonny Weems,JR,2006-07,F,Arkansas,SEC,35.0,1086.0,161,332,122,224,39,108,51,70,55.0,112.0,167,73,45,15,87.0,61.0,412,21.2,4.1,2.9,7.4,0.564,0.544,6.0,14.8,9.1,14.0,1.9,1.0,19.2,21.0,114.1,97.9,2.0,1.6,3.6,425.0,2008,2,39,0,11.771428571428572,0.48493975903614456,0.5446428571428571,0.3611111111077675,0.7285714285610204,4.771428571428571,2.085714285714286,1.2857142857142858,0.42857142857142855
863,A.J. Hammons,JR,2014-15,C,Purdue,Big Ten,34.0,827.0,157,291,157,284,0,7,91,136,82.0,144.0,226,31,17,96,73.0,87.0,405,26.0,1.2,7.7,8.9,0.569,0.54,12.2,19.7,16.1,9.1,1.3,12.3,17.0,26.9,107.3,92.7,1.8,1.8,3.6,372.0,2016,2,46,0,11.911764705882353,0.5395189003436426,0.5528169014084507,0.0,0.6691176470539036,6.647058823529412,0.9117647058823529,0.5,2.823529411764706
1266,Corey Brewer,FR,2004-05,F,Florida,SEC,32.0,791.0,87,169,70,130,17,39,50,86,49.0,61.0,110,63,46,13,52.0,73.0,241,21.2,4.1,2.9,7.4,0.574,0.565,6.0,14.8,8.2,14.6,1.9,1.2,19.9,16.8,114.1,97.9,1.4,1.7,3.1,425.0,2007,1,7,0,7.53125,0.514792899408284,0.5384615384615384,0.43589743588625907,0.5813953488304489,3.4375,1.96875,1.4375,0.40625
1075,Quincy Acy,SO,2009-10,F,Baylor,Big 12,36.0,840.0,136,195,136,195,0,0,63,88,65.0,120.0,185,11,17,28,45.0,84.0,335,21.7,4.1,2.9,7.4,0.7070000000000001,0.6970000000000001,9.7,14.4,12.3,2.5,1.2,3.5,16.0,16.9,129.0,98.9,2.6,1.3,3.9,295.0,2012,2,37,0,9.305555555555555,0.6974358974358974,0.6974358974358974,0.0,0.7159090909009556,5.138888888888889,0.3055555555555556,0.4722222222222222,0.7777777777777778
202,Derrick White,SR,2016-17,G,Colorado,Pac-12,34.0,1116.0,205,404,148,260,57,144,148,182,35.0,104.0,139,148,42,49,81.0,72.0,615,27.3,8.6,3.2,11.8,0.627,0.578,3.5,10.5,7.0,28.6,2.2,4.9,14.2,25.3,124.9,104.0,4.5,1.4,5.9,603.0,2017,1,29,0,18.08823529411765,0.5074257425742574,0.5692307692307692,0.3958333333305845,0.8131868131823452,4.088235294117647,4.352941176470588,1.2352941176470589,1.4411764705882353
1319,Jake Layman,FR,2012-13,F,Maryland,ACC,38.0,757.0,74,187,39,70,35,117,25,36,35.0,88.0,123,36,21,24,39.0,62.0,208,12.8,1.9,3.6,5.5,0.51,0.489,5.6,12.9,9.4,8.7,1.6,3.3,16.0,16.1,103.7,97.0,0.9,1.2,2.1,202.0,2016,2,47,0,5.473684210526316,0.39572192513368987,0.5571428571428572,0.29914529914274235,0.6944444444251544,3.236842105263158,0.9473684210526315,0.5526315789473685,0.631578947368421
346,Henry Ellenson,FR,2015-16,F,Marquette,Big East,33.0,1107.0,194,435,164,331,30,104,143,191,71.0,250.0,321,59,28,49,78.0,84.0,561,20.9,0.9,2.7,3.6,0.534,0.48,7.8,24.2,16.5,11.0,1.4,4.4,12.9,26.7,106.3,98.5,2.0,2.0,4.0,536.0,2016,1,18,0,17.0,0.4459770114942529,0.4954682779456193,0.28846153845876477,0.74869109947252,9.727272727272727,1.7878787878787878,0.8484848484848485,1.4848484848484849
556,Al-Farouq Aminu,SO,2009-10,F,Wake Forest,ACC,31.0,970.0,167,374,149,308,18,66,139,199,133.0,199.0,332,41,44,44,99.0,91.0,491,24.4,4.1,2.9,7.4,0.524,0.471,14.6,20.5,17.6,9.1,2.6,4.5,17.4,27.5,105.1,91.0,2.0,2.2,4.3,488.0,2010,1,8,0,15.838709677419354,0.446524064171123,0.4837662337662338,0.27272727272314046,0.6984924623080478,10.709677419354838,1.3225806451612903,1.4193548387096775,1.4193548387096775
147,Adam Haluska,SR,2006-07,G,Iowa,Big Ten,31.0,1070.0,190,466,100,218,90,248,167,192,27.0,117.0,144,80,42,8,53.0,54.0,637,21.2,4.1,2.9,7.4,0.5720000000000001,0.504,6.0,14.8,8.0,17.9,1.9,0.6,8.7,29.6,114.1,97.9,3.4,1.5,4.9,425.0,2007,2,43,0,20.548387096774192,0.40772532188841204,0.45871559633027525,0.3629032258049883,0.8697916666621366,4.645161290322581,2.5806451612903225,1.3548387096774193,0.25806451612903225
524,Randy Foye,JR,2004-05,G,Villanova,Big East,32.0,1027.0,180,428,128,275,52,153,85,113,56.0,104.0,160,99,67,14,71.0,77.0,497,21.2,4.1,2.9,7.4,0.516,0.481,6.0,14.8,11.0,12.7,1.9,1.8,12.8,22.9,114.1,97.9,1.5,2.9,4.4,425.0,2006,1,7,0,15.53125,0.4205607476635514,0.46545454545454545,0.3398692810435303,0.7522123893738742,5.0,3.09375,2.09375,0.4375
1307,Derrick Brown,FR,2006-07,F,Xavier,A-10,34.0,576.0,77,109,73,101,4,8,56,80,47.0,94.0,141,27,17,21,39.0,86.0,214,21.2,4.1,2.9,7.4,0.728,0.725,6.0,14.8,15.1,9.6,1.9,2.6,21.0,16.8,114.1,97.9,2.1,1.4,3.6,425.0,2009,2,40,0,6.294117647058823,0.7064220183486238,0.7227722772277227,0.4999999999375,0.69999999999125,4.147058823529412,0.7941176470588235,0.5,0.6176470588235294
92,Willie Green,SR,2002-03,G,Detroit Mercy,Horizon,30.0,1021.0,244,498,207,399,37,99,153,190,32.0,116.0,148,75,40,13,68.0,71.0,678,21.2,4.1,2.9,7.4,0.5760000000000001,0.527,6.0,14.8,9.0,17.2,1.9,1.0,10.4,33.7,114.1,97.9,3.8,2.0,5.8,425.0,2003,2,41,0,22.6,0.4899598393574297,0.518796992481203,0.3737373737335986,0.8052631578904986,4.933333333333334,2.5,1.3333333333333333,0.43333333333333335
563,Frank Mason,JR,2015-16,G,Kansas,Big 12,38.0,1272.0,155,357,112,244,43,113,136,184,27.0,136.0,163,175,50,3,73.0,84.0,489,18.1,5.1,3.7,8.8,0.55,0.494,2.6,11.4,7.4,23.4,2.3,0.2,14.1,20.3,117.9,98.7,3.3,2.2,5.5,535.0,2017,2,34,0,12.868421052631579,0.4341736694677871,0.45901639344262296,0.3805309734479599,0.7391304347785917,4.2894736842105265,4.605263157894737,1.3157894736842106,0.07894736842105263
369,Greg Monroe,SO,2009-10,C,Georgetown,Big East,34.0,1164.0,202,385,195,358,7,27,138,209,74.0,254.0,328,128,42,52,112.0,87.0,549,25.2,4.1,2.9,7.4,0.5670000000000001,0.534,8.6,25.2,17.5,22.4,2.2,4.9,18.8,26.7,110.0,93.9,3.2,2.3,5.5,574.0,2010,1,7,0,16.147058823529413,0.5246753246753246,0.5446927374301676,0.25925925924965704,0.6602870813365537,9.647058823529411,3.764705882352941,1.2352941176470589,1.5294117647058822
455,Jordan McRae,JR,2012-13,G,Tennessee,SEC,33.0,1107.0,170,402,110,233,60,169,118,153,31.0,105.0,136,66,26,29,93.0,77.0,518,19.0,4.1,1.3,5.4,0.546,0.498,3.4,12.2,7.6,14.6,1.5,2.7,16.4,27.2,106.2,101.3,2.5,1.3,3.8,477.0,2014,2,58,0,15.696969696969697,0.4228855721393035,0.4721030042918455,0.35502958579671584,0.7712418300603188,4.121212121212121,2.0,0.7878787878787878,0.8787878787878788
1402,Maarty Leunen,FR,2004-05,F,Oregon,Pac-10,27.0,528.0,52,105,44,76,8,29,39,55,29.0,88.0,117,17,18,6,22.0,42.0,151,21.2,4.1,2.9,7.4,0.5760000000000001,0.5329999999999999,6.0,14.8,13.5,6.1,1.9,0.8,14.4,14.7,114.1,97.9,0.8,0.5,1.3,425.0,2008,2,54,0,5.592592592592593,0.49523809523809526,0.5789473684210527,0.27586206895600474,0.7090909090780165,4.333333333333333,0.6296296296296297,0.6666666666666666,0.2222222222222222
438,Craig Smith,JR,2004-05,F,Boston College,Big East,29.0,1004.0,202,401,197,380,5,21,114,170,94.0,152.0,246,49,45,13,65.0,68.0,523,21.2,4.1,2.9,7.4,0.5429999999999999,0.51,6.0,14.8,14.0,11.3,1.9,0.9,11.9,27.2,114.1,97.9,2.1,2.6,4.7,425.0,2006,2,36,0,18.03448275862069,0.5037406483790524,0.5184210526315789,0.23809523808390023,0.6705882352901731,8.482758620689655,1.6896551724137931,1.5517241379310345,0.4482758620689655
629,Jarrett Jack,SO,2003-04,G,Georgia Tech,ACC,38.0,1185.0,145,318,115,223,30,95,154,192,19.0,166.0,185,213,74,5,116.0,81.0,474,21.2,4.1,2.9,7.4,0.579,0.503,6.0,14.8,11.0,12.7,1.9,1.8,22.1,22.9,114.1,97.9,2.8,2.4,5.2,425.0,2005,1,22,0,12.473684210526315,0.4559748427672956,0.515695067264574,0.3157894736808864,0.8020833333291558,4.868421052631579,5.605263157894737,1.9473684210526316,0.13157894736842105
1516,Justin Wright-Foreman,FR,2015-16,G,Hofstra,CAA,27.0,110.0,17,38,13,21,4,17,6,11,1.0,8.0,9,4,4,3,7.0,13.0,44,11.6,-2.8,-1.0,-3.8,0.509,0.5,1.0,7.7,4.4,7.2,2.1,2.6,13.9,22.3,95.1,105.3,0.0,0.1,0.2,37.0,2019,2,53,0,1.6296296296296295,0.4473684210526316,0.6190476190476191,0.235294117633218,0.5454545454049586,0.3333333333333333,0.14814814814814814,0.14814814814814814,0.1111111111111111
703,Blake Stepp,SR,2003-04,G,Gonzaga,WCC,31.0,1027.0,143,332,64,122,79,210,88,106,26.0,116.0,142,207,36,4,93.0,58.0,453,21.2,4.1,2.9,7.4,0.5920000000000001,0.55,6.0,14.8,11.0,12.7,1.9,1.8,19.6,22.9,114.1,97.9,2.8,1.8,4.6,425.0,2004,2,58,0,14.612903225806452,0.4307228915662651,0.5245901639344263,0.37619047618868484,0.830188679237451,4.580645161290323,6.67741935483871,1.1612903225806452,0.12903225806451613
419,Jalen Brunson,SO,2016-17,G,Villanova,Big East,36.0,1118.0,183,338,141,227,42,111,120,137,17.0,76.0,93,148,32,0,74.0,59.0,528,23.3,6.9,1.2,8.1,0.655,0.604,2.1,8.0,5.3,26.1,1.7,0.0,15.5,23.0,128.5,101.6,4.6,1.7,6.2,540.0,2018,2,33,0,14.666666666666666,0.5414201183431953,0.6211453744493393,0.37837837837496957,0.8759124087527307,2.5833333333333335,4.111111111111111,0.8888888888888888,0.0
663,Josh Childress,SO,2002-03,F,Stanford,Pac-10,33.0,1128.0,168,393,120,249,48,144,82,114,73.0,193.0,266,70,39,46,65.0,73.0,466,21.2,4.1,2.9,7.4,0.521,0.489,6.0,14.8,13.1,12.6,1.9,2.8,12.7,22.1,114.1,97.9,1.4,3.3,4.8,425.0,2004,1,6,0,14.121212121212121,0.42748091603053434,0.4819277108433735,0.33333333333101856,0.7192982456077255,8.06060606060606,2.121212121212121,1.1818181818181819,1.393939393939394
596,Jon Diebler,JR,2009-10,G,Ohio State,Big Ten,37.0,1376.0,148,338,32,62,116,276,69,79,9.0,93.0,102,54,42,3,38.0,65.0,481,16.2,4.1,2.9,7.4,0.64,0.609,0.9,7.9,4.6,7.1,1.9,0.3,9.2,16.2,126.4,99.5,3.6,2.0,5.7,411.0,2011,2,51,0,13.0,0.4378698224852071,0.5161290322580645,0.420289855070941,0.8734177215079314,2.7567567567567566,1.4594594594594594,1.135135135135135,0.08108108108108109
471,Sean Singletary,SO,2005-06,G,Virginia,ACC,29.0,982.0,168,420,117,273,51,147,125,148,34.0,94.0,128,121,54,3,104.0,65.0,512,21.2,4.1,2.9,7.4,0.522,0.461,6.0,14.8,7.5,30.1,1.9,0.2,17.5,30.4,114.1,97.9,1.7,1.7,3.4,425.0,2008,2,42,0,17.655172413793103,0.4,0.42857142857142855,0.34693877550784397,0.844594594588888,4.413793103448276,4.172413793103448,1.8620689655172413,0.10344827586206896
1230,Branden Dawson,FR,2011-12,G,Michigan State,Big Ten,31.0,640.0,109,189,109,186,0,3,41,69,67.0,72.0,139,29,29,26,43.0,41.0,259,23.3,4.0,5.8,9.8,0.584,0.5770000000000001,13.3,13.5,13.4,9.5,2.8,4.8,16.2,21.5,112.8,91.0,1.6,1.4,3.0,250.0,2015,2,56,0,8.35483870967742,0.5767195767195767,0.5860215053763441,0.0,0.594202898542113,4.483870967741935,0.9354838709677419,0.9354838709677419,0.8387096774193549
15,Jermaine Taylor,SR,2008-09,G,Central Florida,CUSA,31.0,989.0,291,606,199,361,92,245,138,170,59.0,102.0,161,58,39,24,87.0,55.0,812,21.2,4.1,2.9,7.4,0.591,0.556,6.0,14.8,9.7,17.5,1.9,2.1,11.2,39.3,114.1,97.9,4.9,1.4,6.2,425.0,2009,2,32,0,26.193548387096776,0.4801980198019802,0.5512465373961218,0.3755102040801,0.8117647058775779,5.193548387096774,1.8709677419354838,1.2580645161290323,0.7741935483870968
870,Eric Paschall,JR,2017-18,F,Villanova,Big East,38.0,1133.0,144,270,108,169,36,101,78,96,70.0,130.0,200,83,35,24,64.0,93.0,402,18.3,5.6,4.4,10.0,0.637,0.6,7.6,12.9,10.4,11.7,1.8,2.2,16.9,16.9,125.0,101.4,3.1,1.8,4.9,428.0,2019,2,41,0,10.578947368421053,0.5333333333333333,0.6390532544378699,0.35643564356082735,0.8124999999915364,5.2631578947368425,2.1842105263157894,0.9210526315789473,0.631578947368421
83,Jordan McRae,SR,2013-14,G,Tennessee,SEC,37.0,1190.0,223,512,144,287,79,225,167,212,26.0,102.0,128,91,25,38,77.0,78.0,692,24.0,7.1,1.3,8.4,0.565,0.513,2.6,10.0,6.3,17.6,1.3,3.3,11.2,30.4,119.2,100.7,4.3,2.0,6.2,623.0,2014,2,58,0,18.7027027027027,0.435546875,0.5017421602787456,0.3511111111095506,0.7877358490528881,3.4594594594594597,2.4594594594594597,0.6756756756756757,1.027027027027027
1211,C.J. Wilcox,FR,2010-11,G,Washington,Pac-10,33.0,523.0,90,215,27,58,63,157,25,31,22.0,46.0,68,29,14,10,21.0,41.0,268,20.4,7.3,0.4,7.6,0.583,0.565,4.6,9.6,7.1,9.6,1.5,1.8,8.4,22.4,124.4,101.7,1.8,0.7,2.4,232.0,2014,1,28,0,8.121212121212121,0.4186046511627907,0.46551724137931033,0.4012738853477626,0.8064516128772112,2.0606060606060606,0.8787878787878788,0.42424242424242425,0.30303030303030304
994,Alex Acker,FR,2002-03,G,Pepperdine,WCC,28.0,931.0,128,269,99,201,29,68,79,97,41.0,98.0,139,24,40,11,76.0,46.0,364,21.2,4.1,2.9,7.4,0.578,0.53,6.0,14.8,11.0,12.7,1.9,1.8,19.4,22.9,114.1,97.9,1.8,0.6,2.4,425.0,2005,2,60,0,13.0,0.4758364312267658,0.4925373134328358,0.42647058822902245,0.8144329896823254,4.964285714285714,0.8571428571428571,1.4285714285714286,0.39285714285714285
323,Tyler Dorsey,SO,2016-17,G,Oregon,Pac-12,39.0,1169.0,189,405,101,197,88,208,105,139,33.0,102.0,135,67,30,4,59.0,57.0,571,19.6,5.7,0.6,6.3,0.606,0.575,3.5,9.6,6.7,10.7,1.5,0.4,11.1,22.9,120.9,101.6,3.5,1.7,5.2,510.0,2017,2,41,0,14.64102564102564,0.4666666666666667,0.5126903553299492,0.4230769230748891,0.755395683447803,3.4615384615384617,1.7179487179487178,0.7692307692307693,0.10256410256410256
1162,Jarrett Jack,FR,2002-03,G,Georgia Tech,ACC,31.0,984.0,97,213,80,153,17,60,83,118,16.0,94.0,110,185,51,3,106.0,67.0,294,21.2,4.1,2.9,7.4,0.546,0.495,6.0,14.8,11.0,12.7,1.9,1.8,28.3,22.9,114.1,97.9,1.4,1.6,3.0,425.0,2005,1,22,0,9.483870967741936,0.45539906103286387,0.5228758169934641,0.2833333333286111,0.7033898305025136,3.5483870967741935,5.967741935483871,1.6451612903225807,0.0967741935483871
1271,Reggie Jackson,FR,2008-09,G,Boston College,ACC,34.0,680.0,91,207,73,141,18,66,37,54,41.0,70.0,111,59,28,14,42.0,52.0,237,21.2,4.1,2.9,7.4,0.509,0.483,6.0,14.8,9.2,16.9,1.9,1.6,15.3,19.7,114.1,97.9,0.6,1.2,1.8,425.0,2011,1,24,0,6.970588235294118,0.4396135265700483,0.5177304964539007,0.27272727272314046,0.6851851851724966,3.264705882352941,1.7352941176470589,0.8235294117647058,0.4117647058823529
1235,Kyle Guy,FR,2016-17,G,Virginia,ACC,34.0,634.0,90,205,39,102,51,103,25,35,5.0,52.0,57,45,13,1,21.0,37.0,256,17.9,5.1,1.9,7.0,0.578,0.563,1.0,10.4,5.8,15.2,1.4,0.2,8.7,22.3,116.2,97.4,1.5,1.2,2.7,227.0,2019,2,55,0,7.529411764705882,0.43902439024390244,0.38235294117647056,0.4951456310631539,0.7142857142653062,1.6764705882352942,1.3235294117647058,0.38235294117647056,0.029411764705882353
1006,Von Wafer,SO,2004-05,G,Florida State,ACC,29.0,758.0,124,284,59,120,65,164,49,68,5.0,68.0,73,48,30,8,49.0,33.0,362,21.2,4.1,2.9,7.4,0.5720000000000001,0.551,6.0,14.8,5.7,14.4,1.9,0.8,13.4,24.4,114.1,97.9,2.0,0.5,2.5,425.0,2005,2,39,0,12.482758620689655,0.43661971830985913,0.49166666666666664,0.39634146341221743,0.7205882352835207,2.5172413793103448,1.6551724137931034,1.0344827586206897,0.27586206896551724
177,John Jenkins,SO,2010-11,G,Vanderbilt,SEC,32.0,1105.0,190,411,90,166,100,245,144,161,17.0,78.0,95,39,24,11,52.0,44.0,624,23.5,8.8,-0.7,8.1,0.64,0.584,1.9,7.4,4.9,7.9,1.3,1.0,9.6,24.9,127.8,104.8,4.6,1.1,5.7,527.0,2012,1,23,0,19.5,0.46228710462287104,0.5421686746987951,0.4081632653044565,0.8944099378826434,2.96875,1.21875,0.75,0.34375
55,Chris Douglas-Roberts,JR,2007-08,G,Memphis,CUSA,40.0,1147.0,259,479,214,370,45,109,161,226,53.0,112.0,165,71,49,18,83.0,68.0,724,21.2,4.1,2.9,7.4,0.617,0.588,6.0,14.8,7.7,12.8,1.9,1.1,12.4,27.7,114.1,97.9,4.9,3.2,8.1,425.0,2008,2,40,0,18.1,0.5407098121085595,0.5783783783783784,0.41284403669346015,0.7123893805278213,4.125,1.775,1.225,0.45
621,Bracey Wright,JR,2004-05,G,Indiana,Big Ten,26.0,917.0,150,363,100,211,50,152,126,161,33.0,92.0,125,70,29,15,68.0,50.0,476,21.2,4.1,2.9,7.4,0.542,0.482,6.0,14.8,8.5,20.4,1.9,1.3,13.4,30.4,114.1,97.9,2.2,1.2,3.3,425.0,2005,2,47,0,18.307692307692307,0.4132231404958678,0.47393364928909953,0.32894736841888855,0.7826086956473131,4.8076923076923075,2.6923076923076925,1.1153846153846154,0.5769230769230769
109,Alec Peters,SR,2016-17,F,Valparaiso,Horizon,29.0,1019.0,218,468,160,308,58,160,172,194,74.0,219.0,293,64,23,11,71.0,64.0,666,28.7,6.0,0.5,6.4,0.594,0.528,8.5,23.3,16.2,14.8,1.3,1.2,11.2,30.8,121.0,97.2,4.2,1.9,6.1,625.0,2017,2,54,0,22.96551724137931,0.4658119658119658,0.5194805194805194,0.3624999999977344,0.8865979381397598,10.10344827586207,2.206896551724138,0.7931034482758621,0.3793103448275862
617,Michael Kidd-Gilchrist,FR,2011-12,F,Kentucky,SEC,40.0,1245.0,160,326,147,275,13,51,143,192,103.0,194.0,297,75,39,37,87.0,97.0,476,21.2,5.0,4.1,9.1,0.57,0.511,10.3,17.3,14.0,10.8,1.9,2.8,17.3,20.6,115.5,92.3,3.4,2.6,6.0,497.0,2012,1,2,0,11.9,0.49079754601226994,0.5345454545454545,0.25490196077931565,0.7447916666627876,7.425,1.875,0.975,0.925
356,Jordan Williams,SO,2010-11,F,Maryland,ACC,33.0,1073.0,213,396,213,396,0,0,131,228,121.0,267.0,388,21,23,45,53.0,80.0,557,25.2,2.0,3.1,5.1,0.552,0.5379999999999999,12.6,26.0,19.5,3.9,1.2,4.1,9.5,24.5,115.1,89.9,3.1,2.6,5.7,512.0,2011,2,36,0,16.87878787878788,0.5378787878787878,0.5378787878787878,0.0,0.574561403506252,11.757575757575758,0.6363636363636364,0.696969696969697,1.3636363636363635
652,Daniel Ewing,JR,2003-04,G,Duke,ACC,37.0,1131.0,151,362,77,182,74,180,92,124,36.0,60.0,96,69,52,5,64.0,107.0,468,21.2,4.1,2.9,7.4,0.556,0.519,6.0,14.8,4.8,11.1,1.9,0.3,13.2,20.6,114.1,97.9,2.2,1.6,3.8,425.0,2005,2,32,0,12.64864864864865,0.4171270718232044,0.4230769230769231,0.4111111111088272,0.7419354838649844,2.5945945945945947,1.864864864864865,1.4054054054054055,0.13513513513513514
1086,Chandler Parsons,SO,2008-09,F,Florida,SEC,36.0,937.0,128,278,91,155,37,123,39,70,72.0,132.0,204,64,38,14,50.0,85.0,332,21.2,4.1,2.9,7.4,0.5329999999999999,0.527,6.0,14.8,11.0,12.7,1.9,1.8,13.8,22.9,114.1,97.9,1.2,2.0,3.2,425.0,2011,2,38,0,9.222222222222221,0.460431654676259,0.5870967741935483,0.3008130081276357,0.557142857134898,5.666666666666667,1.7777777777777777,1.0555555555555556,0.3888888888888889
303,E'Twaun Moore,JR,2009-10,G,Purdue,Big Ten,35.0,1103.0,212,476,161,330,51,146,100,137,32.0,102.0,134,93,51,10,73.0,79.0,575,21.3,4.1,2.9,7.4,0.531,0.499,3.4,10.8,7.1,19.8,2.8,1.0,11.9,29.0,106.0,93.5,2.4,2.3,4.7,531.0,2011,2,55,0,16.428571428571427,0.44537815126050423,0.48787878787878786,0.34931506849075816,0.7299270072939422,3.8285714285714287,2.657142857142857,1.457142857142857,0.2857142857142857
1477,Erick Green,FR,2009-10,G,Virginia Tech,ACC,34.0,423.0,29,99,18,59,11,40,19,28,7.0,24.0,31,31,17,7,25.0,38.0,88,6.5,4.1,2.9,7.4,0.392,0.348,1.8,6.2,4.0,13.4,2.3,1.7,18.2,15.9,83.7,97.8,-0.2,0.7,0.5,93.0,2013,2,46,0,2.588235294117647,0.29292929292929293,0.3050847457627119,0.274999999993125,0.6785714285471939,0.9117647058823529,0.9117647058823529,0.5,0.20588235294117646
145,James Anderson,SO,2008-09,G,Oklahoma State,Big 12,35.0,1171.0,209,434,125,228,84,206,136,164,76.0,122.0,198,48,40,24,69.0,85.0,638,21.2,4.1,2.9,7.4,0.623,0.578,6.0,14.8,9.5,8.3,1.9,1.6,11.9,24.3,114.1,97.9,4.2,1.5,5.7,425.0,2010,1,20,0,18.228571428571428,0.4815668202764977,0.5482456140350878,0.4077669902892827,0.8292682926778704,5.6571428571428575,1.3714285714285714,1.1428571428571428,0.6857142857142857
